"source_json","output_stem","split","group_name","shape_index","label_before","label_after","points_before","points_after","moved_paired_points","delta_median_px","delta_p95_px","delta_max_px"
"Mixed/Metal and Plastic submarine/0 NTU/000.json","Mixed_Metal_and_Plastic_submarine_0_NTU_000","train","Mixed/Metal and Plastic submarine/0 NTU","1","metal_submarine","metal_submarine","45","45","4","6.91","9.005","93.484"
"Mixed/Metal and Plastic submarine/0 NTU/001.json","Mixed_Metal_and_Plastic_submarine_0_NTU_001","train","Mixed/Metal and Plastic submarine/0 NTU","1","metal_submarine","metal_submarine","46","46","1","105.886","105.886","105.886"
"Mixed/Metal and Plastic submarine/10 NTU/000.json","Mixed_Metal_and_Plastic_submarine_10_NTU_000","train","Mixed/Metal and Plastic submarine/10 NTU","1","plastic_submarine","plastic_submarine","36","36","1","15.602","15.602","15.602"
"Mixed/Metal and Plastic submarine/10 NTU/001.json","Mixed_Metal_and_Plastic_submarine_10_NTU_001","train","Mixed/Metal and Plastic submarine/10 NTU","0","plastic_submarine","plastic_submarine","36","36","1","16.375","16.375","16.375"
"Mixed/Metal submarine and Plastic fish/0 NTU/007.json","Mixed_Metal_submarine_and_Plastic_fish_0_NTU_007","train","Mixed/Metal submarine and Plastic fish/0 NTU","1","metal_submarine","metal_submarine","54","54","6","43.844","66.559","80.196"
"Mixed/Metal submarine and Plastic fish/0 NTU/008.json","Mixed_Metal_submarine_and_Plastic_fish_0_NTU_008","train","Mixed/Metal submarine and Plastic fish/0 NTU","1","metal_submarine","metal_submarine","52","52","1","44.766","44.766","44.766"
"Mixed/Metal submarine and Plastic fish/0 NTU/009.json","Mixed_Metal_submarine_and_Plastic_fish_0_NTU_009","train","Mixed/Metal submarine and Plastic fish/0 NTU","1","metal_submarine","metal_submarine","52","52","1","43.991","43.991","43.991"
"Mixed/Metal submarine and Plastic fish/0 NTU/010.json","Mixed_Metal_submarine_and_Plastic_fish_0_NTU_010","train","Mixed/Metal submarine and Plastic fish/0 NTU","0","metal_submarine","metal_submarine","52","52","1","38.765","38.765","38.765"
"Mixed/Metal submarine and Plastic fish/0 NTU/011.json","Mixed_Metal_submarine_and_Plastic_fish_0_NTU_011","train","Mixed/Metal submarine and Plastic fish/0 NTU","1","metal_submarine","metal_submarine","52","52","1","40.315","40.315","40.315"
"Mixed/Metal submarine and Plastic fish/0 NTU/019.json","Mixed_Metal_submarine_and_Plastic_fish_0_NTU_019","train","Mixed/Metal submarine and Plastic fish/0 NTU","1","metal_submarine","metal_submarine","54","54","1","36.388","36.388","36.388"
"Mixed/Metal submarine and Plastic fish/10 NTU/007.json","Mixed_Metal_submarine_and_Plastic_fish_10_NTU_007","train","Mixed/Metal submarine and Plastic fish/10 NTU","1","metal_submarine","metal_submarine","84","84","1","22.025","22.025","22.025"
"Mixed/Metal submarine and Plastic fish/10 NTU/009.json","Mixed_Metal_submarine_and_Plastic_fish_10_NTU_009","train","Mixed/Metal submarine and Plastic fish/10 NTU","3","metal_submarine","metal_submarine","64","64","5","45.126","55.613","61.156"
"Mixed/Metal submarine and Plastic fish/10 NTU/041.json","Mixed_Metal_submarine_and_Plastic_fish_10_NTU_041","train","Mixed/Metal submarine and Plastic fish/10 NTU","2","metal_submarine","metal_submarine","61","61","4","59.483","72.907","90.168"
"Mixed/Metal submarine and Plastic fish/10 NTU/042.json","Mixed_Metal_submarine_and_Plastic_fish_10_NTU_042","train","Mixed/Metal submarine and Plastic fish/10 NTU","2","metal_submarine","metal_submarine","63","63","1","62.871","62.871","62.871"
"Mixed/Metal submarine and Plastic fish/10 NTU/044.json","Mixed_Metal_submarine_and_Plastic_fish_10_NTU_044","train","Mixed/Metal submarine and Plastic fish/10 NTU","1","metal_submarine","metal_submarine","62","62","1","29.077","29.077","29.077"
"Mixed/Metal submarine and Plastic fish/20 NTU/012.json","Mixed_Metal_submarine_and_Plastic_fish_20_NTU_012","train","Mixed/Metal submarine and Plastic fish/20 NTU","1","metal_submarine","metal_submarine","57","57","8","41.547","54.545","54.897"
"Mixed/Metal submarine and Plastic fish/20 NTU/013.json","Mixed_Metal_submarine_and_Plastic_fish_20_NTU_013","train","Mixed/Metal submarine and Plastic fish/20 NTU","0","metal_submarine","metal_submarine","57","57","8","34.573","54.122","54.545"
"Mixed/Metal submarine and Plastic fish/20 NTU/014.json","Mixed_Metal_submarine_and_Plastic_fish_20_NTU_014","train","Mixed/Metal submarine and Plastic fish/20 NTU","1","metal_submarine","metal_submarine","48","48","7","31.894","44.589","71.359"
"Mixed/Metal submarine and Plastic fish/20 NTU/015.json","Mixed_Metal_submarine_and_Plastic_fish_20_NTU_015","train","Mixed/Metal submarine and Plastic fish/20 NTU","1","metal_submarine","metal_submarine","46","46","8","44.224","71.727","82.551"
"Mixed/Metal submarine and Plastic fish/20 NTU/016.json","Mixed_Metal_submarine_and_Plastic_fish_20_NTU_016","train","Mixed/Metal submarine and Plastic fish/20 NTU","1","metal_submarine","metal_submarine","54","54","10","40.658","52.273","60.505"
"Mixed/Metal submarine and Plastic fish/20 NTU/017.json","Mixed_Metal_submarine_and_Plastic_fish_20_NTU_017","train","Mixed/Metal submarine and Plastic fish/20 NTU","2","metal_submarine","metal_submarine","69","69","4","51.674","58.214","60"
"Mixed/Metal submarine and Plastic fish/20 NTU/018.json","Mixed_Metal_submarine_and_Plastic_fish_20_NTU_018","train","Mixed/Metal submarine and Plastic fish/20 NTU","2","metal_submarine","metal_submarine","64","64","1","86.524","86.524","86.524"
"Mixed/Metal submarine and Plastic fish/20 NTU/024.json","Mixed_Metal_submarine_and_Plastic_fish_20_NTU_024","train","Mixed/Metal submarine and Plastic fish/20 NTU","2","plastic_fish","plastic_fish","69","69","1","43.54","43.54","43.54"
"Mixed/Metal submarine and Plastic fish/20 NTU/025.json","Mixed_Metal_submarine_and_Plastic_fish_20_NTU_025","train","Mixed/Metal submarine and Plastic fish/20 NTU","2","plastic_fish","plastic_fish","37","37","4","72.977","91.313","95.197"
"Mixed/Metal submarine and Plastic fish/20 NTU/026.json","Mixed_Metal_submarine_and_Plastic_fish_20_NTU_026","train","Mixed/Metal submarine and Plastic fish/20 NTU","2","plastic_fish","plastic_fish","37","37","4","78.403","101.39","106.05"
"Mixed/Metal submarine and Real fish/0 NTU/004.json","Mixed_Metal_submarine_and_Real_fish_0_NTU_004","train","Mixed/Metal submarine and Real fish/0 NTU","2","metal_submarine","metal_submarine","80","80","17","50.611","81.949","89.994"
"Mixed/Plastic submarine and Plastic fish/0 NTU/002.json","Mixed_Plastic_submarine_and_Plastic_fish_0_NTU_002","train","Mixed/Plastic submarine and Plastic fish/0 NTU","1","plastic_fish","plastic_fish","78","79","35","10.745","46.273","68.291"
"Mixed/Plastic submarine and Plastic fish/0 NTU/003.json","Mixed_Plastic_submarine_and_Plastic_fish_0_NTU_003","train","Mixed/Plastic submarine and Plastic fish/0 NTU","1","plastic_fish","plastic_fish","78","79","77","9.974","31.085","55.029"
"Mixed/Plastic submarine and Plastic fish/0 NTU/004.json","Mixed_Plastic_submarine_and_Plastic_fish_0_NTU_004","train","Mixed/Plastic submarine and Plastic fish/0 NTU","1","plastic_fish","plastic_fish","73","73","1","27.442","27.442","27.442"
"Mixed/Plastic submarine and Plastic fish/10 NTU/005.json","Mixed_Plastic_submarine_and_Plastic_fish_10_NTU_005","train","Mixed/Plastic submarine and Plastic fish/10 NTU","2","plastic_fish","plastic_fish","75","75","2","23.909","23.909","44.011"
"Mixed/Plastic submarine and Plastic fish/10 NTU/006.json","Mixed_Plastic_submarine_and_Plastic_fish_10_NTU_006","train","Mixed/Plastic submarine and Plastic fish/10 NTU","2","plastic_fish","plastic_fish","75","75","2","20.271","20.271","44.245"
"Mixed/Plastic submarine and Plastic fish/10 NTU/007.json","Mixed_Plastic_submarine_and_Plastic_fish_10_NTU_007","train","Mixed/Plastic submarine and Plastic fish/10 NTU","0","plastic_fish","plastic_fish","75","75","3","25.682","25.682","41.911"
"Mixed/Plastic submarine and Plastic fish/10 NTU/008.json","Mixed_Plastic_submarine_and_Plastic_fish_10_NTU_008","train","Mixed/Plastic submarine and Plastic fish/10 NTU","1","plastic_fish","plastic_fish","77","77","2","9.365","9.365","29.94"
"Mixed/Plastic submarine and Plastic fish/10 NTU/009.json","Mixed_Plastic_submarine_and_Plastic_fish_10_NTU_009","train","Mixed/Plastic submarine and Plastic fish/10 NTU","3","plastic_fish","plastic_fish","63","63","7","30.628","80.477","93.223"
"Mixed/Plastic submarine and Plastic fish/10 NTU/010.json","Mixed_Plastic_submarine_and_Plastic_fish_10_NTU_010","train","Mixed/Plastic submarine and Plastic fish/10 NTU","2","plastic_fish","plastic_fish","98","98","29","39.45","94.452","106.858"
"Mixed/Plastic submarine and Plastic fish/10 NTU/011.json","Mixed_Plastic_submarine_and_Plastic_fish_10_NTU_011","train","Mixed/Plastic submarine and Plastic fish/10 NTU","2","plastic_fish","plastic_fish","109","109","16","60.15","90.553","96.097"
"Mixed/Plastic submarine and Plastic fish/20 NTU/004.json","Mixed_Plastic_submarine_and_Plastic_fish_20_NTU_004","val","Mixed/Plastic submarine and Plastic fish/20 NTU","3","plastic_submarine","plastic_submarine","54","54","2","8.765","8.765","11.303"
"Mixed/Plastic submarine and Real fish/0 NTU/000.json","Mixed_Plastic_submarine_and_Real_fish_0_NTU_000","test","Mixed/Plastic submarine and Real fish/0 NTU","1","real_fish","real_fish","62","62","6","16.199","27.959","28.633"
"Mixed/Plastic submarine and Real fish/0 NTU/044.json","Mixed_Plastic_submarine_and_Real_fish_0_NTU_044","test","Mixed/Plastic submarine and Real fish/0 NTU","1","real_fish","real_fish","37","39","25","31.228","87.946","110.029"
